Date,Time,Day,Level,Side,Height (Inches),Width (Inches),Leaf (Inches),Flowers
9/7/2024,12:24 PM,18,3,room,7.5,7.375,3.48,
9/7/2024,12:26 PM,18,3,window,5.2,7.25,2.46,
9/7/2024,12:27 PM,18,4,room,5.43,6.625,3.17,
9/7/2024,12:29 PM,18,4,window,6.07,6.5,2.69,
9/7/2024,12:30 PM,18,5,room,5.52,7.625,3.31,
9/7/2024,12:32 PM,18,5,window,9.25,4.88,3.05,
9/7/2024,12:33 PM,18,6,room,4.04,4.88,2.95,
9/7/2024,12:34 PM,18,6,window,5.25,6.25,3.12,
9/7/2024,12:36 PM,18,7,room,4.64,6.75,3.09,
9/7/2024,12:37 PM,18,7,window,5.69,5.37,3.22,
9/7/2024,12:39 PM,18,8,room,5.29,5.83,3.39,
9/7/2024,12:40 PM,18,8,window,8.75,6,3.35,
9/7/2024,12:41 PM,18,9,room,4.58,6.75,3.01,
9/7/2024,12:43 PM,18,9,window,9.75,5.44,3.79,
9/7/2024,12:44 PM,18,10,room,5.96,6.02,2.91,
9/7/2024,12:45 PM,18,10,window,5.5,7.25,2.72,
9/8/2024,12:55 PM,19,1,room,4.71,5.6,3.1,
9/8/2024,12:56 PM,19,1,window,5.45,5.6,3.02,
9/8/2024,12:58 PM,19,2,room,3.78,5.4,2.57,
9/8/2024,12:59 PM,19,2,window,6.625,7.375,3.32,
9/8/2024,1:01 PM,19,3,room,7.75,7.625,3.81,
9/8/2024,1:02 PM,19,3,window,5.57,7.375,2.47,
9/8/2024,1:04 PM,19,4,room,5.79,6.375,3.28,
9/8/2024,1:06 PM,19,4,window,5.5,6.75,2.72,
9/8/2024,1:07 PM,19,5,room,5.7,7.5,3.39,
9/8/2024,1:09 PM,19,5,window,9.5,4.99,3.14,
9/8/2024,4:13 PM,19,6,room,4.5,5.09,2.92,
9/8/2024,4:15 PM,19,6,window,5.5,6.5,3.36,
9/8/2024,4:17 PM,19,7,room,4.57,6.875,3.16,
9/8/2024,4:19 PM,19,7,window,5.38,5.17,3.21,
9/8/2024,4:20 PM,19,8,room,5.28,5.96,3.45,
9/8/2024,4:21 PM,19,8,window,9.125,6.625,3.64,
9/8/2024,4:23 PM,19,9,room,4.53,6.11,2.94,
9/8/2024,4:24 PM,19,9,window,10.5,5.13,3.9,
9/8/2024,4:25 PM,19,10,room,6.25,6,2.97,
9/8/2024,4:27 PM,19,10,window,5.8,6.5,2.94,
9/9/2024,8:38 AM,20,1,room,5.32,6.5,3.07,
9/9/2024,8:40 AM,20,1,window,6.5,5.84,2.93,
9/9/2024,8:42 AM,20,2,room,4.4,5.88,2.65,
9/9/2024,8:44 AM,20,2,window,6.75,7.25,3.21,
9/9/2024,8:43 AM,20,3,room,8.25,8,3.7,
9/9/2024,8:46 AM,20,3,window,6.04,7.625,2.44,
9/9/2024,8:47 AM,20,4,room,6.25,6.875,3.29,
9/9/2024,8:49 AM,20,4,window,6.375,7.625,2.75,
9/9/2024,8:50 AM,20,5,room,6,8.625,3.47,
9/9/2024,8:52 AM,20,5,window,10,5.43,3.2,
9/9/2024,8:04 PM,20,6,room,4.52,5.36,2.94,
9/9/2024,8:05 PM,20,6,window,6.125,5.75,3.54,
9/9/2024,8:06 PM,20,7,room,5.11,7.25,3.11,
9/9/2024,8:08 PM,20,7,window,6.125,5.54,3.11,
9/9/2024,8:10 PM,20,8,room,5.43,6.375,3.44,
9/9/2024,8:12 PM,20,8,window,9.375,7.25,3.52,
9/9/2024,8:13 PM,20,9,room,5.04,6.375,2.83,
9/9/2024,8:14 PM,20,9,window,11.25,5.25,3.89,
9/9/2024,8:15 PM,20,10,room,5.375,5.625,2.99,
9/9/2024,8:17 PM,20,10,window,6.5,6.125,2.8,
9/10/2024,1:06 PM,21,1,room,5.41,6.625,3.15,
9/10/2024,1:08 PM,21,1,window,6.75,5.53,3.04,
9/10/2024,1:09 PM,21,2,room,4.25,5.75,2.76,
9/10/2024,1:10 PM,21,2,window,7.5,7.5,3.22,
9/10/2024,1:11 PM,21,3,room,9.25,7.875,3.83,
9/10/2024,1:12 PM,21,3,window,6.5,7.25,2.58,
9/10/2024,1:14 PM,21,4,room,5.75,6.375,3.21,
9/10/2024,1:15 PM,21,4,window,6.125,7.25,2.82,
9/10/2024,1:16 PM,21,5,room,6.125,7.75,3.36,
9/10/2024,1:18 PM,21,5,window,10.375,6.375,3.01,
9/10/2024,1:19 PM,21,6,room,4.85,6.07,3.05,
9/10/2024,1:21 PM,21,6,window,6.75,7.25,3.17,
9/10/2024,1:22 PM,21,7,room,5.47,7.625,3.12,
9/10/2024,1:24 PM,21,7,window,6.375,5.375,3.14,
9/10/2024,1:25 PM,21,8,room,5.65,6.125,3.47,
9/10/2024,1:27 PM,21,8,window,10.2,7.625,3.56,
9/10/2024,1:28 PM,21,9,room,4.8,6.875,2.91,
9/10/2024,1:30 PM,21,9,window,11.3,5.25,3.82,
9/10/2024,1:32 PM,21,10,room,6.5,6.65,3.01,
9/10/2024,1:33 PM,21,10,window,6.625,6.625,2.83,
9/11/2024,8:45 AM,22,1,room,6,6.625,3.2,
9/11/2024,8:47 AM,22,1,window,7.5,5.91,3.06,1
9/11/2024,8:49 AM,22,2,room,5.05,5.59,2.77,
9/11/2024,8:50 AM,22,2,window,7.875,7.5,3.41,
9/11/2024,8:51 AM,22,3,room,9.875,8.25,3.98,1
9/11/2024,8:53 AM,22,3,window,7.5,7.375,2.6,
9/11/2024,8:55 AM,22,4,room,7.125,6.625,3.25,
9/11/2024,8:56 AM,22,4,window,7.625,8,3.58,
9/11/2024,8:58 AM,22,5,room,6.75,7.5,3.53,
9/11/2024,8:59 AM,22,5,window,10.375,7.5,3.42,
9/11/2024,9:01 AM,22,6,room,5.25,6.375,2.87,
9/11/2024,9:02 AM,22,6,window,6.875,8.25,3.2,
9/11/2024,9:03 AM,22,7,room,6.25,7.875,2.86,
9/11/2024,9:05 AM,22,7,window,7.2,6.125,3.16,1
9/11/2024,9:06 AM,22,8,room,6.375,6.3125,3.57,
9/11/2024,9:08 AM,22,8,window,9.375,8,3.62,
9/11/2024,9:09 AM,22,9,room,5.49,6.625,3.02,
9/11/2024,9:11 AM,22,9,window,11.75,5.51,3.84,1
9/11/2024,9:11 AM,22,10,room,6.875,6,3.07,
9/11/2024,9:14 AM,22,10,window,6.875,6.875,2.78,
9/12/2024,9:31 AM,23,1,room,6.125,6.125,3.15,
9/12/2024,9:33 AM,23,1,window,8.25,5.71,3.17,1
9/12/2024,9:29 AM,23,2,room,5.31,5.73,2.91,
9/12/2024,9:34 AM,23,2,window,8.75,8.625,3.21,1
9/12/2024,9:36 AM,23,3,room,9.85,8.625,4.19,1
9/12/2024,9:37 AM,23,3,window,7.5,7.3,2.56,
9/12/2024,9:39 AM,23,4,room,7.375,5.875,3.24,
9/12/2024,9:41 AM,23,4,window,7.625,8,3.68,
9/12/2024,9:43 AM,23,5,room,7.25,8.25,3.58,
9/12/2024,9:45 AM,23,5,window,11.375,7.625,3.49,1
9/12/2024,9:46 AM,23,6,room,5.83,7.35,2.99,
9/12/2024,9:48 AM,23,6,window,7.25,7.375,3.33,
9/12/2024,12:09 PM,23,7,room,6.5,8.25,2.95,
9/12/2024,12:11 PM,23,7,window,7.125,7.25,3.44,2
9/12/2024,12:13 PM,23,8,room,7.125,6.25,3.62,
9/12/2024,12:14 PM,23,8,window,10.5,7.3,3.64,
9/12/2024,12:15 PM,23,9,room,6.4,6.5,3.03,
9/12/2024,12:16 PM,23,9,window,12.5,6.5,4.03,1
9/12/2024,12:17 PM,23,10,room,6.875,6,3.16,
9/12/2024,12:19 PM,23,10,window,7.75,6.75,2.9,
9/13/2024,8:46 AM,24,1,room,7,5.94,3.23,
9/13/2024,8:48 AM,24,1,window,8.875,5.53,3.17,
9/13/2024,8:49 AM,24,2,room,5.76,5.43,2.95,
9/13/2024,8:50 AM,24,2,window,9,9.125,3.53,1
9/13/2024,8:52 AM,24,3,room,8.25,8.5,3.76,1
9/13/2024,8:53 AM,24,3,window,8.375,6.75,2.53,
9/13/2024,8:55 AM,24,4,room,7.9,6.1,3.28,
9/13/2024,8:56 AM,24,4,window,8.375,8,2.89,
9/13/2024,8:58 AM,24,5,room,8.1,7.625,3.65,
9/13/2024,9:00 AM,24,5,window,11.87,5,3.47,1
9/13/2024,9:02 AM,24,6,room,5.98,7.125,2.95,
9/13/2024,9:04 AM,24,6,window,8.25,7.75,3.26,1
9/13/2024,8:46 PM,24,7,room,7.625,8.75,3.06,
9/13/2024,8:48 PM,24,7,window,7.5,5.625,3.36,1
9/13/2024,8:50 PM,24,8,room,7.125,6.375,3.63,
9/13/2024,8:51 PM,24,8,window,11.375,8,3.59,
9/13/2024,8:52 PM,24,9,room,6.4,6.875,3.07,
9/13/2024,8:54 PM,24,9,window,13.375,5.25,4.1,1
9/13/2024,8:55 PM,24,10,room,7.4,5.67,3.24,
9/13/2024,8:57 PM,24,10,window,7.5,7.125,2.9,
9/14/2024,9:43 AM,25,1,room,7.625,5.875,3.23,
9/14/2024,9:45 AM,25,1,window,9.625,5.875,3.25,1
9/14/2024,9:47 AM,25,2,room,6.5,5.5,3,
9/14/2024,9:48 AM,25,2,window,9.625,9.75,3.37,1
9/14/2024,9:50 AM,25,3,room,10.875,6.75,4.11,1
9/14/2024,9:51 AM,25,3,window,8.5,8.125,2.6,
9/14/2024,9:52 AM,25,4,room,8.75,6.7,3.29,
9/14/2024,9:54 AM,25,4,window,9.625,8.5,3.13,
9/14/2024,9:55 AM,25,5,room,9.4,8.75,3.66,
9/14/2024,9:57 AM,25,5,window,13.375,5.42,3.48,1
9/14/2024,5:28 PM,25,6,room,6.4,7.25,3.01,
9/14/2024,5:30 PM,25,6,window,8.75,7.25,3.52,1
9/14/2024,5:32 PM,25,7,room,8.625,9,2.92,
9/14/2024,5:34 PM,25,7,window,8.5,5.875,3.38,
9/14/2024,5:36 PM,25,8,room,7.75,6.625,3.65,
9/14/2024,5:38 PM,25,8,window,12,8.25,3.82,1
9/14/2024,5:40 PM,25,9,room,6.875,6.875,3.2,
9/14/2024,5:41 PM,25,9,window,13.75,5.7,4.17,1
9/14/2024,5:45 PM,25,10,room,8,6.25,3.27,
9/14/2024,5:46 PM,25,10,window,8.25,7.5,2.93,
9/15/2024,10:23 AM,26,1,room,7.5,5.25,3.32,
9/15/2024,10:25 AM,26,1,window,10.375,5.625,3.33,1
9/15/2024,10:27 AM,26,2,room,6.25,5.5,3.11,
9/15/2024,10:28 AM,26,2,window,9.375,10.625,3.53,1
9/15/2024,10:30 AM,26,3,room,10.75,5.625,4.03,1
9/15/2024,10:32 AM,26,3,window,9.75,8.375,2.61,
9/15/2024,10:33 AM,26,4,room,8.375,7.125,3.43,
9/15/2024,10:35 AM,26,4,window,10.625,8.5,3.17,1
9/15/2024,10:37 AM,26,5,room,8.25,8.25,3.66,1
9/15/2024,10:39 AM,26,5,window,13.25,4.8,3.5,1
9/15/2024,5:53 PM,26,6,room,6.75,7.625,2.96,
9/15/2024,5:55 PM,26,6,window,8.75,6.5,3.7,1
9/15/2024,5:57 PM,26,7,room,8.875,9.5,3.11,
9/15/2024,5:58 PM,26,7,window,9,5.875,3.31,1
9/15/2024,6:00 PM,26,8,room,8.4,6.5,3.66,
9/15/2024,6:01 PM,26,8,window,12.625,8.625,3.85,1
9/15/2024,6:03 PM,26,9,room,7.75,7.25,3.31,
9/15/2024,6:04 PM,26,9,window,14.625,5.625,4.14,1
9/15/2024,6:07 PM,26,10,room,7.875,5.625,3.14,
9/15/2024,6:08 PM,26,10,window,9,7.7,2.95,
9/16/2024,5:19 PM,27,1,room,8.25,5.625,3.26,
9/16/2024,5:21 PM,27,1,window,11.625,6,3.27,1
9/16/2024,5:22 PM,27,2,room,6.75,5.25,3.03,
9/16/2024,5:23 PM,27,2,window,12.25,11.75,3.52,1
9/16/2024,5:25 PM,27,3,room,11.25,5.875,4.04,1
9/16/2024,5:27 PM,27,3,window,9.25,8.75,2.62,
9/16/2024,5:29 PM,27,4,room,10.125,6.875,3.16,
9/16/2024,5:31 PM,27,4,window,10.75,8.375,3.13,1
9/16/2024,5:32 PM,27,5,room,9.875,8.625,3.81,1
9/16/2024,5:34 PM,27,5,window,14.125,6.625,3.48,1
9/16/2024,5:36 PM,27,6,room,8,7.875,2.91,
9/16/2024,5:37 PM,27,6,window,10.625,9.56,3.73,1
9/16/2024,5:44 PM,27,7,room,9.75,9.75,3.07,
9/16/2024,5:41 PM,27,7,window,9.25,6.25,3.4,1
9/16/2024,5:45 PM,27,8,room,8.625,6.375,3.62,
9/16/2024,5:47 PM,27,8,window,14.125,8.75,3.87,1
9/16/2024,5:48 PM,27,9,room,8.875,8,3.31,
9/16/2024,5:50 PM,27,9,window,16,5.875,4.1,1
9/16/2024,5:52 PM,27,10,room,8.875,7.2,3.22,
9/16/2024,5:53 PM,27,10,window,9.625,7.75,3.05,
9/17/2024,7:35 AM,28,1,room,9,5.75,3.28,
9/17/2024,7:37 AM,28,1,window,11.75,6,3.28,1
9/17/2024,7:38 AM,28,2,room,7.25,5.55,2.9,
9/17/2024,7:39 AM,28,2,window,11.75,11.25,3.54,1
9/17/2024,7:41 AM,28,3,room,11.25,5.89,3.86,1
9/17/2024,7:42 AM,28,3,window,9.875,8.375,2.59,
9/17/2024,7:44 AM,28,4,room,9.75,7.375,3.27,
9/17/2024,7:45 AM,28,4,window,12.25,8.875,3.17,1
9/17/2024,7:46 AM,28,5,room,11.25,10.5,3.53,2
9/17/2024,7:48 AM,28,5,window,14.94,6.25,3.49,1
9/17/2024,7:50 AM,28,6,room,8.125,9.5,2.58,
9/17/2024,7:51 AM,28,6,window,11.375,10.625,3.02,1
9/17/2024,7:15 PM,28,7,room,10.5,10.125,3.15,
9/17/2024,7:16 PM,28,7,window,9.875,5.75,3.01,1
9/17/2024,7:17 PM,28,8,room,8.5,6.25,3.63,
9/17/2024,7:19 PM,28,8,window,15.125,8.75,3.9,1
9/17/2024,7:21 PM,28,9,room,7.875,7.75,3.43,
9/17/2024,7:23 PM,28,9,window,16.375,6.5,3.73,1
9/17/2024,7:25 PM,28,10,room,9,6.875,3.27,
9/17/2024,7:27 PM,28,10,window,10.25,8.25,2.98,
9/18/2024,8:06 PM,29,1,room,9,6.125,3.35,
9/18/2024,8:08 PM,29,1,window,10.875,6.25,3.43,1
9/18/2024,8:10 PM,29,2,room,7.5,4.68,3.21,
9/18/2024,8:11 PM,29,2,window,14.125,11.25,3.81,1
9/18/2024,8:12 PM,29,3,room,11.25,6.02,3.81,1
9/18/2024,8:13 PM,29,3,window,11.125,9,2.48,
9/18/2024,8:15 PM,29,4,room,11.25,7.25,3.37,
9/18/2024,8:16 PM,29,4,window,12.375,9.25,3.33,1
9/18/2024,8:18 PM,29,5,room,12,9,3.98,2
9/18/2024,8:20 PM,29,5,window,14.9,10.125,3.54,1
9/18/2024,8:22 PM,29,6,room,8.125,8.375,2.53,
9/18/2024,8:24 PM,29,6,window,12.5,10.625,3.86,1
9/18/2024,8:26 PM,29,7,room,11.125,10.85,3.12,
9/18/2024,8:28 PM,29,7,window,10,5.5,3,1
9/18/2024,8:30 PM,29,8,room,9,6.625,3.66,
9/18/2024,8:31 PM,29,8,window,14.125,8.75,3.55,1
9/18/2024,8:34 PM,29,9,room,8.25,7.75,3.41,
9/18/2024,8:36 PM,29,9,window,17.375,6.75,3.69,1
9/18/2024,8:40 PM,29,10,room,9.125,6.75,3.31,
9/18/2024,8:42 PM,29,10,window,10.5,8.625,3.58,
9/19/2024,10:19 AM,30,1,room,9.625,6.5,3.42,
9/19/2024,10:21 AM,30,1,window,13,6.125,3.49,
9/19/2024,10:23 AM,30,2,room,8.125,5.25,3.11,
9/19/2024,10:24 AM,30,2,window,14.25,12.5,3.56,1
9/19/2024,10:26 AM,30,3,room,12.5,5.85,3.78,1
9/19/2024,10:27 AM,30,3,window,10.25,9.75,2.49,
9/19/2024,10:30 AM,30,4,room,10.75,7.75,3.38,
9/19/2024,10:40 AM,30,4,window,13,10.25,3.19,1
9/19/2024,10:41 AM,30,5,room,12.25,8.25,3.97,2
9/19/2024,10:44 AM,30,5,window,15.625,10.625,3.51,1
9/19/2024,8:13 PM,30,6,room,8.625,8.75,2.61,
9/19/2024,8:15 PM,30,6,window,13.25,11.25,3.58,1
9/19/2024,8:16 PM,30,7,room,10.625,9.75,2.91,
9/19/2024,8:18 PM,30,7,window,10.625,5.75,3,1
9/19/2024,8:20 PM,30,8,room,10.125,6.375,3.61,
9/19/2024,8:22 PM,30,8,window,15.625,9.75,3.51,1
9/19/2024,8:24 PM,30,9,room,8.375,8,3.42,
9/19/2024,8:25 PM,30,9,window,17.375,6.25,3.74,1
9/19/2024,8:27 PM,30,10,room,8.75,7.625,3.52,
9/19/2024,8:28 PM,30,10,window,11.625,8.5,3.07,
9/20/2024,8:35 AM,31,1,room,10.75,6.5,3.14,
9/20/2024,8:37 AM,31,1,window,13.25,6.0625,3.53,1
9/20/2024,8:39 AM,31,2,room,8.5,4.75,3.24,
9/20/2024,8:40 AM,31,2,window,15.375,14.5,3.62,1
9/20/2024,8:41 AM,31,3,room,11.25,6,3.81,1
9/20/2024,8:43 AM,31,3,window,11.375,9.5,2.43,1
9/20/2024,8:44 AM,31,4,room,11,8.125,3.42,
9/20/2024,8:45 AM,31,4,window,13.875,10.5,3.27,1
9/20/2024,8:48 AM,31,5,room,13.125,9.875,3.92,2
9/20/2024,8:50 AM,31,5,window,16.125,9.75,3.51,1
9/20/2024,8:52 PM,31,6,room,8.75,8.625,2.58,
9/20/2024,8:54 PM,31,6,window,14.125,11.25,3.67,1
9/20/2024,8:56 PM,31,7,room,12.5,10.125,3.02,
9/20/2024,8:58 PM,31,7,window,10.75,6.625,3.1,1
9/20/2024,9:00 PM,31,8,room,9.75,6.625,3.6,
9/20/2024,9:03 PM,31,8,window,16.125,9.625,3.56,1
9/20/2024,9:05 PM,31,9,room,8.5,7.75,3.33,
9/20/2024,9:07 PM,31,9,window,18.625,6,3.87,1
9/20/2024,9:08 PM,31,10,room,9.75,7.75,3.46,
9/20/2024,9:09 PM,31,10,window,11.25,9.125,3.09,
9/21/2024,1:07 PM,32,1,room,10.875,6.75,3.34,
9/21/2024,1:10 PM,32,1,window,14.125,6.25,3.48,1
9/21/2024,1:11 PM,32,2,room,8.25,5.125,3.25,
9/21/2024,1:13 PM,32,2,window,13.375,11.625,3.49,1
9/21/2024,1:15 PM,32,3,room,11.5,5.875,3.68,1
9/21/2024,1:17 PM,32,3,window,11.625,10,2.59,1
9/21/2024,1:19 PM,32,4,room,11.125,7.5,3.54,
9/21/2024,1:20 PM,32,4,window,14.4,11.625,3.29,1
9/21/2024,1:23 PM,32,5,room,12.625,10.25,4.14,2
9/21/2024,1:25 PM,32,5,window,16.625,10.625,3.42,1
9/21/2024,6:00 PM,32,6,room,8.75,9.625,2.72,
9/21/2024,6:02 PM,32,6,window,15.25,13.25,3.72,1
9/21/2024,6:04 PM,32,7,room,11.75,10.125,3.16,
9/21/2024,6:06 PM,32,7,window,11.125,6.75,3.15,1
9/21/2024,6:07 PM,32,8,room,10.375,6.375,3.62,
9/21/2024,6:09 PM,32,8,window,16.75,9.5,3.62,1
9/21/2024,6:13 PM,32,9,room,8.375,8.5,3.37,
9/21/2024,6:10 PM,32,9,window,18.75,6.75,3.82,1
9/21/2024,6:14 PM,32,10,room,9.5,8.375,3.43,
9/21/2024,6:16 PM,32,10,window,13,8.875,3.12,
9/22/2024,12:01 PM,33,1,room,11.5,7,3.4,
9/22/2024,12:03 PM,33,1,window,15.125,6,3.48,1
9/22/2024,12:04 PM,33,2,room,8.75,5.375,3.31,
9/22/2024,5,33,2,window,14.25,13.375,3.59,1
9/22/2024,7,33,3,room,11.375,6.25,3.85,1
9/22/2024,8,33,3,window,12.5,10.5,2.6,1
9/22/2024,9,33,4,room,11.75,7.625,3.46,
9/22/2024,5:42 PM,33,4,window,16.25,12.5,3.64,1
9/22/2024,45,33,5,room,11.75,11.375,4.12,2
9/22/2024,46,33,5,window,17.5,10,3.5,1
9/22/2024,48,33,6,room,9.5,9.875,2.61,
9/22/2024,49,33,6,window,15.875,13.75,3.35,1
9/22/2024,51,33,7,room,11.875,10,3,
9/22/2024,53,33,7,window,11.125,6.5,3.11,1
9/22/2024,54,33,8,room,10.875,7,3.64,
9/22/2024,56,33,8,window,17.5,9.5,3.56,1
9/22/2024,58,33,9,room,8.25,8.75,3.38,
9/22/2024,6:00 PM,33,9,window,19.25,6.625,4.01,1
9/22/2024,2,33,10,room,9.5,8.375,3.43,
9/22/2024,3,33,10,window,13.125,10.25,3.03,1
9/23/2024,5:43 PM,34,1,room,11.625,7,3.36,
9/23/2024,44,34,1,window,14.125,5.875,3.62,1
9/23/2024,46,34,2,room,9,5.375,3.33,
9/23/2024,47,34,2,window,13,12.625,3.99,1
9/23/2024,49,34,3,room,11.625,7,3.95,1
9/23/2024,50,34,3,window,13.25,11.375,2.65,1
9/23/2024,51,34,4,room,12.25,4.25,3.56,1
9/23/2024,52,34,4,window,15.5,11.5,3.61,1
9/23/2024,54,34,5,room,12.5,12.5,3.93,2
9/23/2024,56,34,5,window,16.625,10.25,3.54,1
9/23/2024,58,34,6,room,10,10.75,2.62,
9/23/2024,6:00 PM,34,6,window,17,12.75,3.4,1
9/23/2024,2,34,7,room,11.5,11.75,2.89,
9/23/2024,5,34,7,window,11.375,7.125,3.22,1
9/23/2024,6,34,8,room,11.125,7.125,3.6,
9/23/2024,9,34,8,window,17.375,10.25,3.89,1
9/23/2024,11,34,9,room,8.5,8.875,3.48,
9/23/2024,12,34,9,window,18.625,6.75,4.01,1
9/23/2024,14,34,10,room,9.5,7.625,3.43,
9/23/2024,16,34,10,window,13,9,3.02,1
