Entry,Timestamp,Unit,Depth,pH,EC,PPM,Temperature,Humidity,Brix Value,Brix Color,Brix Line,H2O+,NPK+,Acid+,Alkaline+,Yields,ID,Dataset
92,2024-09-23T23:33:19.919Z,"""00""",,,,,,,,,,,,,,"{""Winner Basil"":733}",Rate Test-92,Rate Test
91,2024-09-23T22:20:21.557Z,"""00""",5.13,6.1,4558,2279,73.9,,,,,,,,,"{""Winner Basil"":null}",Rate Test-91,Rate Test
90,2024-09-23T12:19:14.305Z,"""00""",5.5,6.4,4062,2031,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-90,Rate Test
89,2024-09-23T00:33:42.342Z,"""00""",5.69,6.7,4254,2127,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-89,Rate Test
88,2024-09-22T12:13:39.648Z,"""00""",6,6.7,3568,1784,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-88,Rate Test
87,2024-09-22T02:20:37.920Z,"""00""",6.13,6.2,3720,1860,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-87,Rate Test
86,2024-09-21T11:46:57.533Z,"""00""",6.5,6.2,3530,1765,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-86,Rate Test
85,2024-09-21T01:13:55.051Z,"""00""",6.75,6,3530,1765,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-85,Rate Test
84,2024-09-20T12:33:36.983Z,"""00""",7,6.3,3358,1679,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-84,Rate Test
83,2024-09-20T00:32:51.218Z,"""00""",7.25,6.1,3472,1736,74.4,,,,,,,,,"{""Winner Basil"":null}",Rate Test-83,Rate Test
82,2024-09-19T12:36:00.742Z,"""00""",7.63,6,3072,1536,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-82,Rate Test
81,2024-09-19T00:45:04.166Z,"""00""",7.88,6.1,3016,1508,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-81,Rate Test
80,2024-09-18T12:27:13.349Z,"""00""",8.31,6.1,2806,1403,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-80,Rate Test
79,2024-09-17T23:33:45.122Z,"""00""",8.63,6.1,3046,1523,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-79,Rate Test
78,2024-09-17T23:32:45.926Z,"""00""",8.63,6.2,2820,1410,69.8,,,,,,0.5,,,"{""Winner Basil"":null}",Rate Test-78,Rate Test
77,2024-09-17T11:07:33.141Z,"""00""",,,,,,,,,,,,,,"{""Winner Basil"":128}",Rate Test-77,Rate Test
76,2024-09-17T10:48:23.754Z,"""00""",9.13,6.4,2464,1232,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-76,Rate Test
75,2024-09-16T23:53:30.206Z,"""00""",9.47,6.5,2420,1210,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-75,Rate Test
74,2024-09-16T23:52:29.465Z,"""00""",9.47,6.2,2054,1027,70.8,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-74,Rate Test
73,2024-09-16T23:47:45.946Z,"""00""",7.88,7,2658,1329,72.5,,,,,81.5,,,,"{""Winner Basil"":null}",Rate Test-73,Rate Test
72,2024-09-16T23:42:29.913Z,"""00""",5.44,6.3,3910,1955,69.8,,,,,124.7,,,,"{""Winner Basil"":null}",Rate Test-72,Rate Test
71,2024-09-16T22:15:15.511Z,"""00""",,,,,,,,,,,,,,"{""Winner Basil"":null}",Rate Test-71,Rate Test
70,2024-09-16T11:22:55.377Z,"""00""",6.19,6,3624,1812,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-70,Rate Test
69,2024-09-16T00:24:36.872Z,"""00""",6.38,6.1,3682,1841,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-69,Rate Test
68,2024-09-15T14:18:59.766Z,"""00""",7,6.1,3282,1641,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-68,Rate Test
67,2024-09-14T23:42:54.967Z,"""00""",7.5,6.2,3282,1641,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-67,Rate Test
66,2024-09-14T23:41:54.325Z,"""00""",7.5,6.1,2928,1464,69.8,,,,,,0.5,,,"{""Winner Basil"":null}",Rate Test-66,Rate Test
65,2024-09-14T13:43:04.756Z,"""00""",8.13,6.2,2992,1496,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-65,Rate Test
64,2024-09-13T23:38:29.108Z,"""00""",8.5,6.4,3024,1512,72.5,,,,,,,,,"{""Winner Basil"":0}",Rate Test-64,Rate Test
63,2024-09-13T13:18:52.493Z,"""00""",9.1,6.7,2614,1307,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-63,Rate Test
62,2024-09-13T13:17:01.452Z,"""00""",7.63,6.2,2864,1432,69.8,,,,,78.3,,,,"{""Winner Basil"":null}",Rate Test-62,Rate Test
61,2024-09-13T13:11:55.046Z,"""00""",5.5,6,4692,2346,71.6,,,,,104.3,,,,"{""Winner Basil"":null}",Rate Test-61,Rate Test
60,2024-09-13T01:19:32.804Z,"""00""",5.84,6.5,4558,2279,74.4,,,,,,,,,"{""Winner Basil"":null}",Rate Test-60,Rate Test
59,2024-09-12T13:11:37.603Z,"""00""",6.44,6,4176,2088,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-59,Rate Test
58,2024-09-11T23:19:07.092Z,"""00""",6.81,6,4044,2022,70.8,,,,,,,,,"{""Winner Basil"":0}",Rate Test-58,Rate Test
57,2024-09-11T12:44:37.715Z,"""00""",7.5,6,3816,1908,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-57,Rate Test
56,2024-09-10T23:34:17.195Z,"""00""",7.81,6.2,3796,1898,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-56,Rate Test
55,2024-09-10T16:39:59.991Z,"""00""",8.25,6,3186,1593,76.1,,,,,,,,,"{""Winner Basil"":null}",Rate Test-55,Rate Test
54,2024-09-09T11:48:30.652Z,"""00""",9.13,6.5,3206,1603,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-54,Rate Test
53,2024-09-09T00:22:41.368Z,"""00""",9.38,6.9,2882,1441,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-53,Rate Test
52,2024-09-09T00:19:47.612Z,"""00""",8.25,6.7,3644,1822,70.8,,,,,64,,,,"{""Winner Basil"":null}",Rate Test-52,Rate Test
51,2024-09-09T00:15:20.384Z,"""00""",7.75,6.2,4748,2374,70.8,,,,,74,,,,"{""Winner Basil"":null}",Rate Test-51,Rate Test
50,2024-09-08T13:14:01.175Z,"""00""",7.25,6,4424,2212,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-50,Rate Test
49,2024-09-08T01:16:10.359Z,"""00""",7.5,6.3,4348,2174,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-49,Rate Test
48,2024-09-07T13:31:27.649Z,"""00""",7.88,6.1,4138,2069,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-48,Rate Test
47,2024-09-07T01:41:33.398Z,"""00""",8.13,6.5,3986,1993,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-47,Rate Test
46,2024-09-06T13:32:42.215Z,"""00""",8.5,6,3740,1870,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-46,Rate Test
45,2024-09-06T02:34:02.167Z,"""00""",8.75,6.2,3796,1898,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-45,Rate Test
44,2024-09-05T11:24:20.573Z,"""00""",9.25,6.1,3130,1565,68,,,,,,,,,"{""Winner Basil"":null}",Rate Test-44,Rate Test
43,2024-09-05T11:22:33.427Z,"""00""",9.25,5.9,2992,1496,68.9,,,,,,1.6,,,"{""Winner Basil"":null}",Rate Test-43,Rate Test
42,2024-09-05T11:18:34.184Z,"""00""",7.5,5.5,4006,2003,70.3,,,,,95.5,,,,"{""Winner Basil"":null}",Rate Test-42,Rate Test
41,2024-09-04T23:49:23.225Z,"""00""",7.75,6,4024,2012,70.3,,,,,,,,,"{""Winner Basil"":null}",Rate Test-41,Rate Test
40,2024-09-04T12:10:27.830Z,"""00""",8.19,6.1,3834,1917,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-40,Rate Test
39,2024-09-04T00:09:04.641Z,"""00""",8.38,6.1,3948,1974,70.3,,,,,,,,,"{""Winner Basil"":null}",Rate Test-39,Rate Test
38,2024-09-03T11:11:03.667Z,"""00""",8.88,6.7,3568,1784,70.3,,,,,,,,,"{""Winner Basil"":null}",Rate Test-38,Rate Test
37,2024-09-03T00:43:56.206Z,"""00""",9,7,3358,1679,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-37,Rate Test
36,2024-09-03T00:35:36.971Z,"""00""",6.75,7,4768,2384,69.8,,,,,122.72,,,,"{""Winner Basil"":null}",Rate Test-36,Rate Test
35,2024-09-02T12:35:51.065Z,"""00""",7.13,6.9,4500,2250,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-35,Rate Test
34,2024-09-02T00:14:07.474Z,"""00""",7.25,7,4482,2241,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-34,Rate Test
33,2024-09-01T12:25:29.185Z,"""00""",7.63,7.1,4196,2098,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-33,Rate Test
32,2024-09-01T00:54:40.910Z,"""00""",7.75,7,3854,1927,71.6,,,,,,,,,"{""Winner Basil"":0}",Rate Test-32,Rate Test
31,2024-08-31T13:06:42.494Z,"""00""",8,6.9,3930,1965,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-31,Rate Test
30,2024-08-31T02:10:53.032Z,"""00""",8.25,7,3948,1974,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-30,Rate Test
29,2024-08-30T12:08:46.475Z,"""00""",8.63,6.9,3510,1755,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-29,Rate Test
28,2024-08-30T00:29:31.625Z,"""00""",8.75,7,3682,1841,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-28,Rate Test
27,2024-08-29T12:08:53.590Z,"""00""",9.13,6.6,3302,1651,69.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-27,Rate Test
26,2024-08-28T23:41:27.582Z,"""00""",9.25,6.5,3434,1717,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-26,Rate Test
25,2024-08-28T12:23:55.814Z,"""00""",9.75,6.6,2844,1422,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-25,Rate Test
24,2024-08-28T12:22:35.847Z,"""00""",9.75,7,2928,1464,70.8,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-24,Rate Test
23,2024-08-28T12:20:12.963Z,"""00""",9,7,3024,1512,70.8,,,,,31.2,,,,"{""Winner Basil"":null}",Rate Test-23,Rate Test
22,2024-08-28T12:14:50.520Z,"""00""",6.5,7,4272,2136,70.8,,,,,133.4,,,,"{""Winner Basil"":null}",Rate Test-22,Rate Test
21,2024-08-28T00:09:37.959Z,"""00""",6.63,7,4100,2050,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-21,Rate Test
20,2024-08-27T11:35:02.232Z,"""00""",,,,,,,,,,,,,,"{""Winner Basil"":null}",Rate Test-20,Rate Test
19,2024-08-27T11:11:46.523Z,"""00""",7,6.9,3834,1917,70.8,,,,,,,,,"{""Winner Basil"":null}",Rate Test-19,Rate Test
18,2024-08-27T00:08:44.595Z,"""00""",7.13,7,3930,1969,74.4,,,,,,,,,"{""Winner Basil"":null}",Rate Test-18,Rate Test
17,2024-08-26T12:07:28.772Z,"""00""",7.38,6.9,3624,1812,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-17,Rate Test
16,2024-08-26T00:15:47.426Z,"""00""",7.5,7,3568,1784,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-16,Rate Test
15,2024-08-25T12:50:04.825Z,"""00""",7.81,6.9,3208,1603,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-15,Rate Test
14,2024-08-25T00:07:45.950Z,"""00""",8,7,3186,1593,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-14,Rate Test
13,2024-08-24T12:32:37.849Z,"""00""",8.31,6.5,1422,2844,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-13,Rate Test
12,2024-08-24T00:11:49.138Z,"""00""",8.5,6.8,3046,1523,73.9,,,,,,,,,"{""Winner Basil"":null}",Rate Test-12,Rate Test
11,2024-08-23T13:22:45.352Z,"""00""",8.75,7,2928,1464,73.9,,,,,,,,,"{""Winner Basil"":0}",Rate Test-11,Rate Test
10,2024-08-23T00:08:42.747Z,"""00""",8.88,6.5,2302,1151,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-10,Rate Test
9,2024-08-22T12:45:37.812Z,"""00""",9,7,2324,1162,72.5,,,,,,,,,"{""Winner Basil"":null}",Rate Test-9,Rate Test
8,2024-08-22T00:35:34.486Z,"""00""",9.125,6.8,2668,1334,73.9,,,,,,,,,"{""Winner Basil"":null}",Rate Test-8,Rate Test
7,2024-08-21T12:26:18.659Z,"""00""",9.5,6,2032,1016,71.6,,,,,,,,,"{""Winner Basil"":null}",Rate Test-7,Rate Test
6,2024-08-21T12:24:55.620Z,"""00""",9.5,6,1724,862,72.5,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-6,Rate Test
5,2024-08-21T12:23:18.783Z,"""00""",9.5,6,1622,811,74.4,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-5,Rate Test
4,2024-08-21T12:21:31.415Z,"""00""",9.5,6.2,1334,667,73.4,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-4,Rate Test
3,2024-08-21T12:19:23.114Z,"""00""",9.5,6.8,1198,599,73.9,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-3,Rate Test
2,2024-08-21T12:16:26.924Z,"""00""",9.5,7,1050,525,73.9,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-2,Rate Test
1,2024-08-21T12:14:02.529Z,"""00""",9.5,7,824,412,72.5,,,,,,1,,,"{""Winner Basil"":null}",Rate Test-1,Rate Test
